Content ID,Reaction Type,Datetime,Category,Content Type,Reaction Score,All Categories,Total Reaction Score,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,Studying,photo,0,Studying,54269,,,,,Top 5 Categories based on the Reaction Score,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,Studying,photo,10,healthy eating,69339,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,Studying,photo,15,technology,68738,,,,,Category,Sum of Total Reaction Score,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,Studying,photo,0,food,66676,,,,,Animals,74965,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,Studying,photo,30,cooking,64756,,,,,food,66676,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,Studying,photo,35,dogs,52511,,,,,healthy eating,69339,
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,Studying,photo,70,soccer,57783,,,,,science,71168,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,Studying,photo,5,public speaking,49264,,,,,technology,68738,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,Studying,photo,35,science,71168,,,,,Grand Total,350886,
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,Studying,photo,65,tennis,50339,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,Studying,photo,20,travel,64880,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,Studying,photo,15,fitness,55323,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,Studying,photo,30,education,57436,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,Studying,photo,5,veganism,49619,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,Studying,photo,15,Animals,74965,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,Studying,photo,75,culture,66579,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,Studying,photo,35,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,Studying,photo,20,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,Studying,photo,30,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,Studying,photo,45,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,Studying,photo,35,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,Studying,photo,12,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,Studying,photo,50,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,Studying,photo,60,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,Studying,photo,12,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,Studying,photo,5,,,,,,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,Studying,photo,5,,,,,,,,,
